,code,name,regn,ala,arg,asp,glu,gly,pro,ser,tyr
465,P055,"Pomfret, black (Parastromateus niger)",2,5.75,6.86,9.77,12.54,6.07,4.7,4.91,4.98
466,P056,"Pomfret, snub nose (Trachinotus blochii)",2,5.7,6.07,10.89,14.65,5.01,3.51,4.08,3.74
467,P057,"Pomfret, white (Pampus argenteus)",2,5.09,6.11,9.11,14.69,5.66,3.15,4.34,5.98
468,P058,Pranel (Gerres sp.),1,6.41,5.22,8.96,16.31,6.51,3.76,3.85,5.47
469,P059,Pulli paarai (Gnathanodon speciosus),1,6.42,5.06,11.6,14.05,5.5,3.99,3.93,5.86
470,P060,Queen fish (Scomberoides commersonianus),3,5.21,6.26,9.83,14.51,4.84,3.29,4.62,3.93
471,P061,Raai fish (Lobotes surinamensis),2,5.67,7.02,8.14,14.18,5.58,3.76,4.61,5.04
472,P062,Raai vanthu (Epinephelus chlorostigma),1,5.47,7.8,10.14,13.69,4.68,3.32,4.26,4.4
473,P063,Rani (Pink perch),1,5.4,8.24,9.1,12.08,5.9,4.11,4.34,5.73
474,P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,5.76,6.03,8.38,16.86,6.76,3.94,4.05,3.25
475,P065,Red snapper (Lutjanus argentimaculatus),1,5.21,6.48,8.8,13.92,5.17,3.31,4.76,5.48
476,P066,"Red snapper, small (Priacanthus hamrur)",1,5.21,6.75,9.36,13.86,5.88,3.11,4.65,5.26
477,P067,Sadaya (Platax orbicularis ),1,5.28,7.92,9.15,14,5.28,3.54,4.52,3.95
478,P068,Salmon (Salmo salar),1,5.31,7.25,9.77,14.05,5.5,3.53,4.82,4.97
479,P069,Sangada (Nemipterus japonicus),1,4.9,7.36,8.21,13.48,5.29,3.12,4.81,5.92
480,P070,Sankata paarai (Caranx ignobilis),1,5.56,4.9,10.62,14.54,4.94,3.59,4.87,4.55
481,P071,Sardine (Sardinella longiceps),1,5.36,6.45,10.65,13.86,5.66,4.41,4.62,4.11
482,P072,Shark (Carcharhinus sorrah),2,5.54,6.71,8.89,14.2,6.72,3.65,4.57,3.65
483,P073,"Shark, hammer head (Sphyrna mokarran)",1,5.75,4.23,9.04,13.68,6.24,6.3,4.13,3.54
484,P074,"Shark, spotted (Stegostoma fasciatum)",1,6.02,6.69,8.71,16.23,6.87,4.56,4.88,3.25
485,P075,Shelavu (Sphyraena jello),4,5.58,7.31,9.05,14.24,5.41,3.39,4.24,3.87
486,P076,Silan (Silonia silondia),1,5.18,7.44,7.79,15.05,5.76,4.02,6.41,4.26
487,P077,Silk fish (Beryx sp.),1,5.43,7.53,10.21,14.57,5.25,3.45,4.39,3.53
488,P078,Silver carp (Hypophthalmichthys molitrix),1,3.31,3.97,9.43,13.75,9.82,7.72,4.54,3.4
489,P079,Sole fish (Cynoglossus arel),1,5.71,6.24,8.01,14.66,4.98,3.36,4.65,5.79
490,P080,Stingray (Dasyatis pastinaca),1,5.21,5.94,8.21,13.94,5.65,4.18,5.65,4.33
491,P081,Tarlava (Drepane punctata),2,5.94,5.94,9.79,14.51,4.96,4.11,4.21,4.64
492,P082,Tholam (Plectorhinchus schotaf),2,5.86,5.68,9.51,15.03,5.8,3.7,4.36,3.67
493,P083,Tilapia (Oreochromis niloticus),1,3.05,6.47,9.02,13.03,4.89,5.62,5.17,5.67
494,P084,Tuna (Euthynnus affinis),5,5.28,6.46,8.60,13.49,5.60,3.49,4.53,5.19
495,P085,"Tuna, striped (Katsuwonus pelamis)",1,5.97,7.02,8.04,14.2,5.24,3.46,4.5,5.72
496,P086,Valava (Chirocentrus nudus),1,5.6,5.02,10.14,16.04,4.41,3.3,4.9,4.21
497,P087,Vanjaram (Scomberomorus commerson),2,5.71,6.81,10.31,14.51,5.9,3.74,4.35,3.74
498,P088,Vela meen (Aprion virescens),1,5.42,6.57,8.71,14.28,6.04,3.53,4.46,4.69
499,P089,Vora (Siganus javus),2,5.85,4.46,9.41,15.08,5.14,3.7,4.16,4.56
500,P090,Whale shark (Galeocerdo cuvier),1,5.49,5.88,9.02,13.93,6.13,3.85,4.37,5.16
501,P091,Xiphinis (Xiphias gladius),1,5.12,5.67,8.73,13.64,5.41,3.51,4.36,4.38
502,P092,"Eggs, Cat fish (Ompok bimaculatus)",1,3.38,6.53,9.31,12.24,5.28,5.38,4.72,5.57
