,code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
341,N013,"Guinea fowl, meat, with skin",1,4.64,2.66,7.35,8.49,6.58,9.08,6.79,4.98,1.65,4.7
342,N014,"Pigeon, meat, with skin",1,4.88,2.47,7.22,8.32,6.31,8.95,6.59,5.28,1.62,4.51
343,N015,"Quail, meat, skinless",1,5.11,2.98,7.2,8.65,6.79,8.9,7.01,5.14,1.74,5.03
344,N016,"Turkey, leg, with skin",1,5.06,2.4,6.58,8.62,6.6,8.77,6.8,5.06,1.66,4.64
345,N017,"Turkey, thigh, with skin",1,5.32,2.62,6.78,8.94,6.15,8.65,6.93,5.36,1.62,4.62
346,N018,"Turkey, breast, with skin",1,4.8,2.97,7.07,8.17,6.44,8.86,7.52,5.03,1.54,5.91
347,N019,"Turkey, wing, with skin",1,4.85,3.32,7.22,9.14,6.09,9.44,6.26,5.51,1.71,5.07
348,O001,"Goat, shoulder",6,4.71,3.33,7.66,9.00,5.66,9.26,7.29,5.12,1.34,4.71
349,O002,"Goat, chops",6,5.09,3.53,6.24,7.26,5.41,9.29,7.06,4.92,1.63,4.45
350,O003,"Goat, legs",6,5.38,3.63,6.81,8.09,5.15,9.89,7.76,4.65,1.43,4.51
351,O004,"Goat, brain",5,5.29,2.98,5.21,8.24,6.01,8.47,6.61,5.29,1.36,4.70
352,O005,"Goat, tongue",4,4.70,3.18,5.59,7.05,5.70,8.26,7.02,4.67,1.45,4.50
353,O006,"Goat, lungs",4,4.64,2.54,5.82,8.04,6.07,7.77,7.16,5.74,1.45,5.15
354,O007,"Goat, heart",5,5.38,3.08,6.35,7.04,5.59,8.15,6.25,5.43,1.31,5.08
355,O008,"Goat, liver",6,4.23,3.04,6.02,8.39,6.27,8.74,5.64,6.58,1.22,4.53
356,O009,"Goat, tripe",5,4.40,3.59,5.99,7.22,5.55,8.33,7.76,4.16,1.34,5.24
357,O010,"Goat, spleen",4,4.62,2.70,5.50,8.89,6.49,8.80,6.58,6.27,1.46,5.27
358,O011,"Goat, kidneys",4,5.23,3.41,6.46,8.48,5.52,8.43,5.74,5.69,1.50,5.44
359,O012,"Goat, tube (small intestine)",3,4.55,3.90,7.01,7.50,5.75,8.28,7.42,4.44,1.47,4.14
360,O013,"Goat, testis",2,4.59,3.88,8.31,7.09,5.99,8.38,6.44,5.25,1.28,4.36
361,O014,"Sheep, shoulder",5,5.23,3.73,7.68,8.05,5.36,9.61,7.87,5.22,1.42,4.82
362,O015,"Sheep, chops",4,5.19,3.31,7.36,7.29,5.48,9.39,6.80,4.89,1.50,4.23
363,O016,"Sheep, leg",5,5.54,3.88,7.07,8.26,5.33,9.52,7.78,4.89,1.47,4.58
364,O017,"Sheep, brain",1,5.54,2.47,5.21,8.51,6.04,8.08,6.83,5.3,1.29,4.19
365,O018,"Sheep, tongue",1,5.71,3.64,5.45,7.49,5.22,8.3,6.79,4.87,1.36,3.62
366,O019,"Sheep, lungs",2,4.56,2.58,5.02,7.78,6.63,7.27,7.43,5.41,1.36,4.53
367,O020,"Sheep, heart",1,5.93,3.18,6.77,7.86,5.56,7.65,6.45,5.45,1.4,4.86
368,O021,"Sheep, liver",4,4.39,2.83,6.20,7.79,5.12,8.22,5.66,5.52,1.19,4.68
369,O022,"Sheep, tripe",2,4.72,3.44,5.78,7.05,5.33,8.65,7.17,3.86,1.46,6.05
370,O023,"Sheep, spleen",1,5.05,2.89,5.9,8.91,7.04,8.83,6.55,6.94,1.38,5.5
371,O024,"Sheep, kidneys",2,5.08,3.78,6.34,7.69,5.04,8.82,5.61,4.89,1.59,5.11
372,O025,"Beef, shoulder",6,5.09,3.85,7.57,8.29,5.36,9.06,7.48,5.35,0.94,4.91
373,O026,"Beef, chops",4,5.51,3.82,5.67,8.26,5.37,9.40,6.51,5.32,1.17,5.32
374,O027,"Beef, round (leg)",6,5.07,3.67,6.43,8.09,5.41,9.85,7.00,5.10,1.42,4.67
375,O028,"Beef, brain",4,5.35,2.74,5.48,8.42,5.64,8.08,6.29,5.43,1.39,4.70
376,O029,"Beef, tongue",4,4.99,3.22,5.55,7.98,5.49,8.23,6.77,5.20,1.20,4.59
377,O030,"Beef, lungs",3,4.51,3.46,5.37,8.13,6.12,7.08,6.21,5.92,1.47,5.20
378,O031,"Beef, heart",5,5.84,2.54,6.41,7.77,5.53,8.00,7.29,4.99,1.44,6.01
379,O032,"Beef, liver",6,4.83,2.92,6.53,8.53,5.54,8.48,5.94,5.90,1.17,5.02
380,O033,"Beef, tripe",5,4.38,3.30,5.28,7.11,6.07,8.39,7.06,4.75,1.48,5.58
381,O034,"Beef, spleen",6,4.82,3.19,5.50,8.38,5.71,7.73,6.12,5.83,1.49,5.05
382,O035,"Beef, kidneys",3,5.27,3.33,6.85,8.08,5.40,7.95,6.21,5.14,1.32,5.22
383,O036,"Calf, shoulder",2,4.82,3.6,5.58,7.73,5.4,9.49,5.35,4.71,1.14,3.87
384,O037,"Calf, chops",2,5.22,3.76,5.61,8.23,5.69,10.47,5.78,5.28,1.3,4.47
385,O038,"Calf, round (leg)",2,5.12,5.1,6.49,8.32,5.99,9.45,6.66,5.45,1.25,4.36
386,O039,"Calf, brain",2,5.98,2.33,5.56,9.19,5.67,8.18,5.22,5.17,1.4,4.25
387,O040,"Calf, tongue",2,4.89,2.7,5.54,7.77,6.86,8.45,6.39,4.76,1.54,4.37
