code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc,fasat,fams,fapu,category
P034,Mackerel (Rastrelliger kanagurta),3,74.55,21.51,1.2,1.53,0,0,0,0,423,604,216,470,Seafood
P035,Manda clathi (Naso reticulatus),1,76.32,21.27,1.48,1,0,0,0,0,398,337,171,278,Seafood
P036,Matha (Acanthurus mata),2,79.81,21.17,1.35,0.79,0,0,0,0,389,297,106,188,Seafood
P037,Milk fish (Chanos chanos),1,72.22,23.66,1.12,1.09,0,0,0,0,442,366,188,321,Seafood
P038,Moon fish (Mene maculata),1,74.21,20.74,1.69,4.69,0,0,0,0,526,2929,932,374,Seafood
P039,Mullet (Mugil cephalus),3,76.12,20.23,1.16,1.32,0,0,0,0,393,495,219,378,Seafood
P040,Mural (Tylosurus crocodilus crocodilus),1,78.96,19.04,1.11,0.58,0,0,0,0,345,349,80.76,354,Seafood
P041,Myil meen (Istiophorus platypterus),2,75.57,22.89,1.21,0.56,0,0,0,0,410,150,55.25,179,Seafood
P042,Nalla bontha (Epinephelus sp.),1,79.32,19.82,1,0.72,0,0,0,0,364,238,127,166,Seafood
P043,Narba (Caranx sexfasciatus),2,76.37,21.95,1.17,1.6,0,0,0,0,432,603,259,487,Seafood
P044,Paarai (Caranx heberi),1,75.77,21.58,1.21,1.84,0,0,0,0,435,720,276,578,Seafood
P045,Padayappa (Canthidermis maculata),1,79.18,19.7,1.26,0.69,0,0,0,0,360,169,83.65,248,Seafood
P046,Pali kora (Panna microdon),1,78.63,19.25,1,1.81,0,0,0,0,394,761,352,431,Seafood
P047,Pambada (Lepturacanthus savala),2,74.67,21.95,1.41,4.44,0,0,0,0,537,1959,857,1185,Seafood
P048,Pandukopa (Pseudosciaena manchurica),1,77.46,19.73,1.15,0.65,0,0,0,0,360,195,89.63,182,Seafood
P049,Parava (Lactarius lactarius),1,77.19,21.5,1.08,2.74,0,0,0,0,467,1184,621,610,Seafood
P050,Parcus (Psettodes erumei),1,79.01,19.87,1.12,0.62,0,0,0,0,361,166,70.55,197,Seafood
P051,Parrot fish (Scarus ghobban),1,76.84,20.82,1.4,0.57,0,0,0,0,375,174,135,78,Seafood
P052,Perinkilichai (Pinjalo pinjalo),1,78.33,20.89,1.02,0.87,0,0,0,0,387,290,101,278,Seafood
P053,Phopat (Coryphaena hippurus),4,76.42,22.05,1.24,1.33,0,0,0,0,424,441,198,456,Seafood
P054,Piranha (Pygopritis sp.),1,76.15,20.46,0.93,5.43,0,0,0,0,549,1973,2357,589,Seafood
P055,"Pomfret, black (Parastromateus niger)",1,74.43,18.91,0.97,4.83,0,0,0,0,515,2229,972,1161,Seafood
P056,"Pomfret, snub nose (Trachinotus blochii)",2,77.81,21.05,1.29,0.46,0,0,0,0,375,145,72.77,128,Seafood
P057,"Pomfret, white (Pampus argenteus)",2,75.91,19.02,1.01,5.12,0,0,0,0,513,2669,1049,919,Seafood
P058,Pranel (Gerres sp.),1,79.54,19.69,0.76,1.89,0,0,0,0,405,827,374,419,Seafood
P059,Pulli paarai (Gnathanodon speciosus),1,75.99,20.06,1.19,1.55,0,0,0,0,399,593,208,505,Seafood
P060,Queen fish (Scomberoides commersonianus),3,76.63,20.97,1.22,1.17,0,0,0,0,400,693,332,536,Seafood
P061,Raai fish (Lobotes surinamensis),2,77.14,21.61,1.11,1.69,0,0,0,0,430,654,311,465,Seafood
P062,Raai vanthu (Epinephelus chlorostigma),1,79.95,19.39,0.92,2.17,0,0,0,0,410,864,423,596,Seafood
P063,Rani (Pink perch),1,78.55,18.83,1.01,1.49,0,0,0,0,377,2926,1878,1112,Seafood
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,80.3,19.03,1.15,0.7,0,0,0,0,349,187,98.7,222,Seafood
P065,Red snapper (Lutjanus argentimaculatus),1,76.28,22.79,1.26,1.34,0,0,0,0,437,485,299,325,Seafood
P066,"Red snapper, small (Priacanthus hamrur)",1,76.31,21.5,1.1,2.3,0,0,0,0,451,861,407,734,Seafood
P067,Sadaya (Platax orbicularis ),1,75.53,20.68,1.32,2.97,0,0,0,0,462,1059,444,1128,Seafood
P068,Salmon (Salmo salar),1,67.84,20.97,1.13,9.86,0,0,0,0,721,4305,2453,2297,Seafood
P069,Sangada (Nemipterus japonicus),1,78.51,20.26,1.26,2.67,0,0,0,0,443,1128,513,706,Seafood
P070,Sankata paarai (Caranx ignobilis),1,74.88,21.87,1.18,1.68,0,0,0,0,434,3317,1876,1746,Seafood
P071,Sardine (Sardinella longiceps),1,72.29,17.91,0.84,8.99,0,0,0,0,637,1250,630,770,Seafood
P072,Shark (Carcharhinus sorrah),2,72.82,21.6,1.08,0.83,0,0,0,0,398,275,126,230,Seafood
P073,"Shark, hammer head (Sphyrna mokarran)",1,74.61,23.4,0.92,0.8,0,0,0,0,432,264,103,232,Seafood
P074,"Shark, spotted (Stegostoma fasciatum)",1,78.83,20.95,1.04,0.75,0,0,0,0,384,253,137,169,Seafood
P075,Shelavu (Sphyraena jello),4,74.6,22.46,1.26,1.74,0,0,0,0,446,677,369,431,Seafood
P076,Silan (Silonia silondia),1,70.12,22.72,0.77,6.68,0,0,0,0,633,3615,3199,1140,Seafood
P077,Silk fish (Beryx sp.),1,77.61,20.65,1.05,1.53,0,0,0,0,408,497,281,506,Seafood
P078,Silver carp (Hypophthalmichthys molitrix),1,72.47,21.71,0.95,5.17,0,0,0,0,555,1826,1964,894,Seafood
P079,Sole fish (Cynoglossus arel),1,80.18,19.05,1.06,1.18,0,0,0,0,367,416,167,370,Seafood
P080,Stingray (Dasyatis pastinaca),1,75.67,23.98,1.14,0.68,0,0,0,0,408,289,173,174,Seafood
P081,Tarlava (Drepane punctata),2,76.76,21.72,1.14,1.2,0,0,0,0,414,504,207,265,Seafood
P082,Tholam (Plectorhinchus schotaf),2,76.2,20.78,1.06,2.13,0,0,0,0,432,856,510,481,Seafood
P083,Tilapia (Oreochromis niloticus),1,79.57,18.48,1.18,1.08,0,0,0,0,349,413,254,199,Seafood
P084,Tuna (Euthynnus affinis),5,72.12,24.5,1.11,1.44,0,0,0,0,470,660,300,575,Seafood
P085,"Tuna, striped (Katsuwonus pelamis)",1,77.76,21.28,0.87,1.12,0,0,0,0,403,424,168,306,Seafood
