0,code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc
0,A001,"Amaranth seed, black (Amaranthus cruentus)",1,9.89,14.59,2.78,5.74,7.02,5.76,1.26,59.98,1490
1,A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,9.20,13.27,3.05,5.56,7.47,5.80,1.67,61.46,1489
2,A003,Bajra (Pennisetum typhoideum),6,8.97,10.96,1.37,5.43,11.49,9.14,2.34,61.78,1456
3,A004,Barley (Hordeum vulgare),6,9.77,10.94,1.06,1.30,15.64,9.98,5.66,61.29,1321
4,A005,Jowar (Sorghum vulgare),6,9.01,9.97,1.39,1.73,10.22,8.49,1.73,67.68,1398
5,A006,"Maize, dry (Zea mays)",6,9.26,8.80,1.17,3.77,12.24,11.29,0.94,64.77,1398
6,A007,"Maize, tender, local (Zea mays)",6,68.29,3.57,0.38,1.40,3.67,3.23,0.43,22.69,502
7,A008,"Maize, tender, sweet (Zea mays)",4,74.40,4.16,0.36,1.35,3.30,2.71,0.59,16.42,405
8,A009,Quinoa (Chenopodium quinoa),1,10.43,13.11,2.65,5.50,14.66,10.21,4.46,53.65,1374
9,A010,Ragi (Eleusine coracana),5,10.89,7.16,2.04,1.92,11.18,9.51,1.67,66.82,1342
10,A011,Rice flakes (Oryza sativa),6,10.36,7.44,0.85,1.14,3.46,2.65,0.81,76.75,1480
11,A012,Rice puffed (Oryza sativa ),6,9.40,7.47,1.28,1.62,2.56,1.76,0.80,77.68,1514
12,A013,"Rice, raw, brown (Oryza sativa )",6,9.33,9.16,1.04,1.24,4.43,3.60,0.82,74.80,1480
13,A014,"Rice, parboiled, milled (Oryza sativa )",6,10.09,7.81,0.65,0.55,3.74,2.98,0.76,77.16,1471
14,A015,"Rice, raw, milled (Oryza sativa )",6,9.93,7.94,0.56,0.52,2.81,1.99,0.82,78.24,1491
15,A016,Samai (Panicum miliare),6,11.36,10.13,1.34,3.89,7.72,5.45,2.27,65.55,1449
16,A017,Varagu (Setaria italica),5,14.23,8.92,1.72,2.55,6.39,4.29,2.11,66.19,1388
17,A018,"Wheat flour, refined (Triticum aestivum)",6,11.34,10.36,0.51,0.76,2.76,2.14,0.62,74.27,1472
18,A019,"Wheat flour, atta (Triticum aestivum)",6,11.10,10.57,1.28,1.53,11.36,9.73,1.63,64.17,1340
19,A020,"Wheat, whole (Triticum aestivum)",6,10.58,10.59,1.42,1.47,11.23,9.63,1.60,64.72,1347
20,A021,"Wheat, bulgur (Triticum aestivum)",6,8.61,10.84,1.23,1.45,8.81,6.56,2.25,69.06,1430
21,A022,"Wheat, semolina (Triticum aestivum)",6,8.94,11.38,0.80,0.74,9.72,8.16,1.55,68.43,1396
22,A023,"Wheat, vermicelli (Triticum aestivum)",6,9.59,9.70,0.60,0.45,9.28,7.53,1.75,70.39,1392
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,7.61,10.37,0.56,0.49,9.55,7.79,1.76,71.42,1423
24,B001,"Bengal gram, dal (Cicer arietinum)",6,9.18,21.55,2.10,5.31,15.15,12.67,2.48,46.72,1377
25,B002,"Bengal gram, whole (Cicer arietinum)",6,8.56,18.77,2.78,5.11,25.22,22.70,2.52,39.56,1201
26,B003,"Black gram, dal (Phaseolus mungo)",6,9.16,23.06,3.17,1.69,11.93,7.58,4.35,51.00,1356
27,B004,"Black gram, whole (Phaseolus mungo)",6,8.70,21.97,3.35,1.58,20.41,15.47,4.94,43.99,1219
28,B005,"Cowpea, brown (Vigna catjang)",6,9.42,20.36,2.90,1.15,11.54,8.75,2.80,54.62,1340
29,B006,"Cowpea, white (Vigna catjang)",1,9.32,21.25,2.83,1.14,11.70,8.91,2.79,53.77,1340
30,B007,"Field bean, black (Phaseolus vulgaris)",1,9.57,19.93,2.73,0.92,23.40,17.99,5.41,43.46,1155
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,8.74,19.90,2.74,0.98,22.40,17.32,5.08,45.24,1184
32,B009,"Field bean, white (Phaseolus vulgaris)",5,8.61,19.84,3.09,0.94,22.99,17.45,5.54,44.53,1173
33,B010,"Green gram, dal (Phaseolus aureus)",6,9.77,23.88,3.04,1.35,9.37,7.75,1.62,52.59,1363
34,B011,"Green gram, whole (Phaseolus aureus)",6,9.95,22.53,3.22,1.14,17.04,14.59,2.44,46.13,1229
35,B012,"Horse gram, whole (Dolicus biflorus)",6,9.28,21.73,3.24,0.62,7.88,6.22,1.66,57.24,1379
36,B013,Lentil dal (Lens culinaris),6,9.71,24.35,2.23,0.75,10.43,8.60,1.83,52.53,1349
37,B014,"Lentil whole, brown (Lens culinaris)",6,9.20,22.49,2.39,0.64,16.82,14.16,2.66,48.47,1251
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,9.75,22.87,2.20,0.61,16.66,14.15,2.51,47.91,1246
39,B016,Moth bean (Vigna aconitifolia),6,8.14,19.75,3.14,1.76,15.12,14.50,0.62,52.09,1291
40,B017,"Peas, dry (Pisum sativum)",6,9.33,20.43,2.41,1.89,17.01,14.55,2.47,48.93,1269
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,8.69,19.01,3.35,1.62,17.74,15.16,2.58,49.59,1247
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,9.68,19.50,3.36,1.68,16.95,14.33,2.62,48.83,1245
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,9.87,19.91,3.28,1.77,16.57,13.86,2.70,48.61,1252
44,B021,"Red gram, dal (Cajanus cajan)",6,9.20,21.70,3.26,1.56,9.06,6.67,2.39,55.23,1384
45,B022,"Red gram, whole (Cajanus cajan)",6,9.30,20.47,3.53,1.38,22.84,19.69,3.15,42.48,1146
46,B023,Ricebean (Vigna umbellata ),1,11.12,19.97,3.54,0.74,13.37,10.04,3.33,51.26,1265
47,B024,"Soya bean, brown (Glycine max)",6,5.51,35.58,4.74,19.82,21.55,16.56,5.00,12.79,1596
48,B025,"Soya bean, white (Glycine max)",1,5.47,37.80,4.52,19.42,22.63,17.04,5.59,10.16,1579
49,C001,Agathi leaves (Sesbania grandiflora),1,74.43,8.01,2.42,1.35,8.60,6.00,2.60,5.21,295
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,86.85,3.29,2.52,0.65,4.41,3.21,1.20,2.28,128
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,85.56,3.93,2.61,0.63,4.91,3.72,1.19,2.37,140
52,C004,"Amaranth leaves, red and green mix (Amaranthus gangeticus)",4,86.37,3.09,2.55,0.53,4.60,3.23,1.37,2.87,132
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,86.46,3.54,2.94,0.36,5.10,3.89,1.20,1.61,110
54,C006,"Amaranth spinosus, leaves, red and green mix (Amaranthus spinosus)",2,86.64,2.80,3.20,0.34,5.57,3.82,1.75,1.45,99
55,C007,Basella leaves (Basella alba),2,92.68,1.57,1.09,0.45,2.21,1.64,0.57,2.01,82
56,C008,Bathua leaves (Chenopodium album),2,88.77,2.50,1.71,0.44,4.01,2.34,1.68,2.56,116
57,C009,Beet greens (Beta vulgaris),6,86.68,2.38,2.69,0.75,3.64,2.20,1.43,3.86,145
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,84.93,2.51,2.33,0.75,2.12,1.32,0.80,7.37,202
59,C011,"Betel leaves, small (Piper betle)",4,85.92,2.62,2.59,0.75,1.97,1.17,0.80,6.16,183
