,code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
440,P030,Kite fish (Mobula kuhlii),1,0.04,0.07,2.50,0.45,127,1334,0,0
441,P031,Korka (Terapon jarbua),1,0.03,0.17,3.42,0.40,316,751,0,0
442,P032,Kulam paarai (Carangoides fulvoguttatus),1,0.06,0.01,1.97,0.57,218,699,0,0
443,P033,Maagaa (Polynemus plebeius),1,0.02,0.01,0.73,0.40,106,695,0,0
444,P034,Mackerel (Rastrelliger kanagurta),3,0.07,0.10,2.67,1.35,100,713,0,0
445,P035,Manda clathi (Naso reticulatus),1,0.03,0.02,2.77,1.02,87.58,738,0,0
446,P036,Matha (Acanthurus mata ),2,0.05,0.05,2.37,1.40,42.45,1157,0,0
447,P037,Milk fish (Chanos chanos),1,0.05,0.07,5.21,1.03,76.51,1132,0,0
448,P038,Moon fish (Mene maculata),1,0.07,0.07,1.83,1.72,136,772,0,0
449,P039,Mullet (Mugil cephalus),3,0.05,0.09,2.52,1.11,135,1189,0,0
450,P040,Mural (Tylosurus crocodilus crocodilus),1,0.06,0.03,2.65,0.37,67.24,1146,0,0
451,P041,Myil meen (Istiophorus platypterus),2,0.04,0.04,4.41,0.71,119,808,0,0
452,P042,Nalla bontha (Epinephelus sp.),1,0.04,0.01,0.56,0.22,83.41,1714,0,0
453,P043,Narba (Caranx sexfasciatus),2,0.05,0.04,1.51,0.75,153,1303,0,0
454,P044,Paarai (Caranx heberi),1,0.03,0.02,2.86,0.27,173,1612,0,0
455,P045,Padayappa (Canthidermis maculata),1,0.03,0.05,4.53,0.68,68.93,1337,0,0
456,P046,Pali kora (Panna microdon),1,0.03,0.05,0.78,0.43,126,887,0,0
457,P047,Pambada (Lepturacanthus savala),2,0.04,0.03,1.96,0.64,76.49,1163,0,0
458,P048,Pandukopa (Pseudosciaena manchurica),1,0.04,0.02,0.54,0.42,262,1651,0,0
459,P049,Parava (Lactarius lactarius),1,0.03,0.03,0.98,0.09,153,796,0,0
460,P050,Parcus (Psettodes erumei),1,0.04,0.02,0.88,0.21,202,488,0,0
461,P051,Parrot fish (Scarus ghobban),1,0.06,0.02,1.89,1.15,132,556,0,0
462,P052,Perinkilichai (Pinjalo pinjalo),1,0.08,0.01,1.48,0.43,119,511,0,0
463,P053,Phopat (Coryphaena hippurus),4,0.06,0.04,4.28,1.13,131,502,0,0
464,P054,Piranha (Pygopritis sp.),1,0.04,0.05,0.97,1.04,67.91,774,0,0
465,P055,"Pomfret, black (Parastromateus niger)",1,0.06,0.02,2.61,0.75,76.00,2056,0,0
466,P056,"Pomfret, snub nose (Trachinotus blochii)",2,0.08,0.05,1.94,0.61,77.51,651,0,0
467,P057,"Pomfret, white (Pampus argenteus)",2,0.05,0.03,1.38,1.11,130,961,0,0
468,P058,Pranel (Gerres sp.),1,0.04,0.13,3.37,0.76,120,1251,0,0
469,P059,Pulli paarai (Gnathanodon speciosus),1,0.05,0.04,1.94,1.13,101,1387,0,0
470,P060,Queen fish (Scomberoides commersonianus),3,0.06,0.04,3.24,0.63,118,1073,0,0
471,P061,Raai fish (Lobotes surinamensis),2,0.07,0.02,1.63,0.31,108,1638,0,0
472,P062,Raai vanthu (Epinephelus chlorostigma),1,0.03,0.01,0.72,0.31,112,1562,0,0
473,P063,Rani (Pink perch),1,0.01,0,1.33,0.53,75.70,1217,0,0
474,P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,0.05,0.03,1.99,0.23,120,1244,0,0
475,P065,Red snapper (Lutjanus argentimaculatus),1,0.02,0.02,3.14,0.52,66.93,1386,0,0
476,P066,"Red snapper, small (Priacanthus hamrur)",1,0.06,0.03,3.43,0.96,172,906,0,0
477,P067,Sadaya (Platax orbicularis ),1,0.07,0.38,2.45,1.07,125,459,0,0
478,P068,Salmon (Salmo salar),1,0.07,0.06,4.45,1.15,150,1136,0,0
479,P069,Sangada (Nemipterus japonicus),1,0.01,0.02,0.68,0.22,101,1675,0,0
480,P070,Sankata paarai (Caranx ignobilis),1,0.03,0.06,3.70,1.19,181,1076,0,0
481,P071,Sardine (Sardinella longiceps),1,0.01,0.06,0.91,0.77,140,2266,0,0
482,P072,Shark (Carcharhinus sorrah),2,0.03,0.04,2.68,1.15,110,857,0,0
483,P073,"Shark, hammer head (Sphyrna mokarran)",1,0.02,0.04,2.72,0.66,73.11,2006,0,0
484,P074,"Shark, spotted (Stegostoma fasciatum)",1,0.05,0.05,1.02,0.67,76.56,1323,0,0
485,P075,Shelavu (Sphyraena jello),4,0.05,0.06,2.10,0.44,110,790,0,0
486,P076,Silan (Silonia silondia),1,0.02,0.07,1.27,0.90,122,2438,0,0
487,P077,Silk fish (Beryx sp.),1,0.03,0.04,2.24,0.17,169,802,0,0
488,P078,Silver carp (Hypophthalmichthys molitrix),1,0.02,0.02,1.87,1.33,136,2462,0,0
489,P079,Sole fish (Cynoglossus arel),1,0.01,0.02,0.47,0.91,68.89,1393,0,0
490,P080,Stingray (Dasyatis pastinaca),1,0.03,0.02,2.74,0.98,214,2559,0,0
491,P081,Tarlava (Drepane punctata),2,0.04,0.04,2.13,0.25,149,1380,0,0
492,P082,Tholam (Plectorhinchus schotaf),2,0.04,0.03,2.74,1.22,160,824,0,0
493,P083,Tilapia (Oreochromis niloticus),1,0.02,0.18,1.40,0.78,176,829,0,0
494,P084,Tuna (Euthynnus affinis),5,0.06,0.07,4.73,1.34,68.24,1374,0,0
495,P085,"Tuna, striped (Katsuwonus pelamis)",1,0.07,0.15,5.04,1.27,122,789,0,0
496,P086,Valava (Chirocentrus nudus),1,0.13,0.02,0.86,0.61,104,1438,0,0
497,P087,Vanjaram (Scomberomorus commerson),2,0.03,0.07,3.46,1.22,163,1545,0,0
498,P088,Vela meen (Aprion virescens),1,0.05,0.04,5.15,0.22,97.92,1632,0,0
499,P089,Vora (Siganus javus),2,0.06,0.07,3.72,0.28,121,1480,0,0
500,P090,Whale shark (Galeocerdo cuvier),1,0.06,0.04,2.90,0.84,125,1605,0,0
501,P091,Xiphinis (Xiphias gladius),1,0.06,0.05,3.24,0.21,65.79,820,0,0
502,P092,"Eggs, Cat fish (Ompok bimaculatus)",1,0,0.19,1.09,0.83,148,2059,0,0
503,Q001,Crab (Menippe mercenaria),1,0.01,0.1,1.66,0.71,120,2304,0,0
504,Q002,"Crab, sea (Portunus sanguinolentus)",1,0.05,0.06,0.97,1.53,117,774,0,0
505,Q003,"Lobster, brown (Thenus orientalis)",1,0.01,0.01,0.63,1.44,216,1129,0,0
506,Q004,"Lobster, king size (Thenus orientalis)",1,0.01,0.02,1.87,1.25,156,1997,0,0
507,Q005,Mud crab (Scylla tranquebarica),1,0.06,0.14,0.60,1.30,180,1383,0,0
508,Q006,Oyster (Crassostrea sp.),1,0.06,0.07,0.71,1.18,145,1612,0,0
509,Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,0.01,0.03,1.03,1.68,104,1537,0,0
510,Q008,"Tiger Prawns, orange (Penaeus monodon)",1,0.03,0.03,1.18,1.47,112,807,0,0
511,R001,"Clam, green shell (Perna viridis)",1,0.06,0.1,0.96,1.14,96,907,0,0
512,R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,0.06,0.11,0.90,0.97,108,900,0,0
513,R003,Octopus (Octopus vulgaris),1,0.05,0.05,1.18,0.94,87.71,2087,0,0
514,R004,"Squid, black (Loligo sp.)",1,0.02,0.04,1.04,0.72,236,1233,0,0
515,R005,"Squid, hard shell (Sepia pharaonis)",1,0.02,0.02,0.65,1.22,41.50,622,0,0
516,R006,"Squid, red (Loligo duvauceli)",2,0.03,0.02,0.71,0.95,101,1300,0,0
517,R007,"Squid, white, small (Uroteuthis duvauceli)",1,0.01,0.03,0.71,0.77,118,1833,0,0
518,S001,Cat fish (Tandanus tandanus),2,0.01,0.07,1.74,1.12,114,1395,0,0
519,S002,Catla (Catla catla),6,0.01,0.03,2.21,1.00,116,1926,0,0
520,S003,Freshwater Eel (Anguilla anguilla),1,0,0.31,2.30,1.52,106,1294,0,0
521,S004,Gold fish (Carassius auratus),2,0,0.05,1.86,1.13,225,2457,0,0
522,S005,Pangas (Pangasianodon hypophthalmus),6,0,0.05,1.28,0.66,229,1323,0,0
523,S006,Rohu (Labeo rohita),6,0,0.04,2.33,1.18,240,1263,0,0
524,S007,Crab (Pachygrapsus sp.),1,0.01,0.11,1.54,0.79,202,1783,0,0
525,S008,"Prawns, big (Macrobrachium rosenbergii)",1,0,0.02,1.31,1.74,186,1826,0,0
526,S009,"Prawns, small (Macrobrachium sp.)",3,0.01,0.03,0.54,1.74,207,1306,0,0
527,S010,Tiger prawns (Macrobrachium sp.),2,0.01,0.04,1.28,1.87,216,1875,0,0
