,code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
234,F006,"Potato, brown skin, big (Solanum tuberosum)",6,0.06,0.01,1.04,0.38,0.10,1.35,15.51,23.15
235,F007,"Potato, brown skin, small (Solanum tuberosum)",1,0.05,0.01,1.36,0.49,0.12,1.82,13.85,26.41
236,F008,"Potato, red skin (Solanum tuberosum)",1,0.06,0.01,1.13,0.39,0.10,1.68,17.83,25.04
237,F009,"Radish, elongate, red skin (Raphanus sativus)",3,0.03,0.02,0.31,0.13,0.07,2.65,24.65,17.63
238,F010,"Radish, elongate, white skin (Raphanus sativus)",6,0.02,0.02,0.30,0.15,0.07,2.48,29.75,19.91
239,F011,"Radish, round, red skin (Raphanus sativus)",1,0.03,0.02,0.30,0.18,0.07,2.92,24.59,15.69
240,F012,"Radish, round, white skin (Raphanus sativus)",2,0.03,0.02,0.24,0.15,0.07,2.59,22.60,14.00
241,F013,"Sweet potato, brown skin (Ipomoes batatas)",4,0.07,0.04,0.67,0.89,0.12,5.19,15.62,17.94
242,F014,"Sweet potato, pink skin (Ipomoes batatas)",3,0.06,0.04,0.69,0.56,0.09,5.71,14.44,22.20
243,F015,Tapioca (Manihot esculenta),3,0.07,0.02,0.45,0.17,0.09,1.93,25.64,15.51
244,F016,Water Chestnut (Eleocharis dulcis),1,0.02,0.02,0.74,0.52,0.13,1.08,9.80,5.26
245,F017,"Yam, elephant (Amorphophallus campanulatus)",6,0.04,0.05,0.61,0.23,0.22,4.51,20.54,15.22
246,F018,"Yam, ordinary (Amorphophallus campanulatus)",4,0.04,0.02,0.56,0.32,0.17,4.19,15.68,13.88
247,F019,"Yam, wild (Dioscorea versicolor)",2,0.121,0.015,0.70,0.23,0.20,4.09,21.01,14.06
248,G001,"Chillies, green-1 (Capsicum annum)",5,0.11,0.09,0.80,0.19,0.45,0.50,25.31,79.50
249,G002,"Chillies, green-2 (Capsicum annum)",3,0.08,0.09,0.93,0.20,0.29,0.64,25.93,90.97
250,G003,"Chillies, green-3 (Capsicum annum)",5,0.09,0.11,0.87,0.24,0.24,0.64,20.45,93.63
251,G004,"Chillies, green-4 (Capsicum annum)",3,0.09,0.12,0.90,0.23,0.18,0.62,15.92,102
252,G005,"Chillies, green-5 (Capsicum annum)",2,0.08,0.16,1.06,0.20,0.20,0.57,17.75,97.77
253,G006,"Chillies, green-6 (Capsicum annum)",1,0.07,0.13,0.92,0.27,0.29,0.73,18.87,108
254,G007,"Chillies, green-7 (Capsicum annum)",1,0.08,0.11,0.80,0.24,0.22,1.21,19.39,112
255,G008,"Chillies, green - all varieties (Capsicum annum)",6,0.09,0.11,0.89,0.22,0.28,0.63,21.50,94.07
256,G009,Coriander leaves (Coriandrum sativum),6,0.09,0.05,0.73,0.63,0.19,4.17,51.01,23.87
257,G010,Curry leaves (Murraya koenigii),6,0.07,0.13,0.85,0.51,0.57,1.77,117,6.04
258,G011,"Garlic, big clove (Allium sativum)",6,0.20,0.25,0.38,1.57,0.56,2.55,85.77,12.62
259,G012,"Garlic, small clove (Allium sativum)",3,0.20,0.23,0.36,1.51,0.77,2.54,78.82,13.57
260,G013,"Garlic, single clove, Kashmir (Allium sativum)",1,0.25,0.22,0.42,1.86,0.97,2.85,92.25,15.38
261,G014,"Ginger, fresh (Zinziber officinale)",6,0.04,0.04,0.42,0.24,0.20,1.07,10.82,5.43
262,G015,Mango ginger (Curcuma amada),3,0.02,0.07,0.45,0.26,0.18,1.49,22.62,1.62
263,G016,Mint leaves (Mentha spicata ),4,0.02,0.19,0.74,0.34,0.17,2.21,106,17.16
264,G017,"Onion, big (Allium cepa)",6,0.04,0.01,0.34,0.30,0.10,2.61,28.88,6.69
265,G018,"Onion, small (Allium cepa)",5,0.07,0.02,0.21,0.14,0.12,2.69,29.68,10.96
266,G019,Asafoetida (Ferula assa-foetida),6,0.82,0.01,0.43,0.14,0.02,2.27,26.28,0
267,G020,"Cardamom, green (Elettaria cardamomum)",6,0.12,0.07,1.13,0.27,0.15,4.94,2.85,0
268,G021,"Cardamom, black (Elettaria cardamomum)",4,0.05,0.13,0.52,0.27,0.20,4.76,4.96,0
269,G022,"Chillies, red (Capsicum annum)",6,0.46,0.83,6.94,0.57,0.42,0.92,51.50,0
270,G023,Cloves (Syzygium aromaticum),6,0.53,0.22,1.15,0.36,0.03,2.41,32.81,0
271,G024,Coriander seeds (Coriandrum sativum),6,0.19,0.23,1.20,0.28,0.04,1.46,22.07,0
272,G025,Cumin seeds (Cuminum cyminum),6,0.52,0.13,2.87,0.22,0.39,1.20,27.79,0
273,G026,Fenugreek seeds (Trigonella foenum graecum),6,0.28,0.14,1.19,0.27,0.77,1.54,51.11,0
274,G027,Mace (Myristica fragrans),6,0.13,0.13,0.92,0.35,0.30,1.80,32.65,0
275,G028,Nutmeg (Myristica fragrans),6,0.04,0.05,0.51,0.33,0.10,1.59,74.78,0
276,G029,Omum (Trachyspermum ammi),6,0.30,0.23,1.23,0.22,0.24,1.78,51.79,0
277,G030,Pippali (Piper longum),6,0.06,0.14,1.06,0.23,0.60,2.34,66.45,0
278,G031,"Pepper, black (Piper nigrum)",6,0.06,0.09,0.85,0.30,0.27,3.49,21.89,0
279,G032,Poppy seeds (Papaver somniferum),6,0.87,0.10,0.77,0.32,0.42,3.25,78.73,0
280,G033,Turmeric powder (Curcuma domestica),6,0.06,0.01,1.55,0.13,0.13,0.76,13.86,0
281,H001,Almond (Prunus amygdalus),6,0.15,0.26,3.71,0.73,0.09,2.39,36.46,0.74
282,H002,"Arecanut, dried, brown (Areca catechu)",6,0.04,0.03,0.71,0.12,0.32,1.66,7.54,0
283,H003,"Arecanut, dried, red color (Areca catechu)",3,0.03,0.24,0.80,0.08,0.21,2.94,8.57,0
284,H004,"Arecanut, fresh (Areca catechu)",2,0.038,0.031,0.74,0.21,0.25,1.70,26.51,0
285,H005,Cashew nut (Anacardium occidentale),6,0.61,0.03,1.03,1.40,0.16,2.58,25.20,0
286,H006,"Coconut, kernal, dry (Cocos nucifera)",6,0.04,0.04,0.71,0.21,0.15,1.01,24.27,0
287,H007,"Coconut, kernel, fresh (Cocos nucifera)",6,0.03,0.08,0.30,0.21,0.10,0.63,25.41,0.80
288,H008,"Garden cress, seeds (Lepidium sativum)",5,0.52,0.15,5.67,0.28,0.05,8.66,30.92,0
289,H009,"Gingelly seeds, black (Sesamum indicum)",6,0.34,0.10,3.12,0.49,0.64,3.06,127,0
290,H010,"Gingelly seeds, brown (Sesamum indicum)",4,0.27,0.08,3.05,0.49,0.49,3.48,92.63,0
291,H011,"Gingelly seeds, white (Sesamum indicum)",5,0.36,0.07,3.94,0.48,0.62,3.46,131,0
292,H012,Ground nut (Arachis hypogea),6,0.57,0.12,11.35,1.01,0.23,1.61,90.87,0
293,H013,Mustard seeds (Brassica juncea),6,0.55,0.33,3.80,0.48,0.24,1.45,94.88,0
294,H014,Linseeds (Linum usitatissimum),6,0.28,0.05,1.09,0.37,0.35,21.25,86.50,0
295,H015,"Niger seeds, black (Guizotia abyssinica)",4,0.46,0.23,1.14,0.49,0.45,2.37,140,0
296,H016,"Niger seeds, gray (Guizotia abyssinica)",5,0.38,0.35,0.88,0.46,0.34,2.40,73.13,0
297,H017,Pine seed (Pinus gerardiana),5,0.36,0.08,3.52,0.50,0.11,18.46,31.64,0
