code,name,regn,mg,mn,hg,mo,ni,p,k,se,na,zn
E047,"Orange, pulp (Citrus aurantium)",6,11.05±0.52,0.02±0.00,,0.001±0.001,0.001±0.000,12.90±4.47,164±23.6,0.19±0.16,1.47±0.05,0.04±0.01
E048,"Palm fruit, tender (Borassus flabellifer)",1,,,,,,,158,,1.25,0.05
E049,"Papaya, ripe (Carcia papaya)",6,10.97±2.21,0.03±0.00,,0.001±0.000,0.002±0.001,17.73±3.53,173±12.4,12.78±5.71,6.68±0.16,0.08±0.03
E050,Peach (Prunus communis),1,8.06,0.05,0.01,0.713,0.138,19.08,281,0.67,1.15,0.1
E051,Pear (Pyrus sp.),6,7.61±1.23,0.08±0.01,,,0.008±0.004,6.74±1.79,106±6.6,,1.64±0.08,0.07±0.02
E052,Phalsa (Grewia asiatica),2,76.92,0.47,0.17,0.003,0.006,23.65,362,3.53,1.99,0.48
E053,Pineapple (Ananas comosus),6,12.68±4.32,1.28±0.35,,,0.017±0.004,13.56±4.36,143±22.2,0.08±0.06,1.43±0.10,0.10±0.02
E054,Plum (Prunus domestica),3,7.79±1.00,0.06±0.02,0.01±0.00,0.115±0.162,0.052±0.023,13.83±3.85,162±3.3,0.56±0.04,1.55±0.09,0.10±0.04
E055,"Pomegranate, maroon seeds (Punica granatum)",6,11.07±0.96,0.13±0.03,,,0.005±0.003,27.20±10.01,206±32.9,0.55±0.22,2.13±0.10,0.18±0.04
E056,Pummelo (Citrus maxima),3,6.83±1.69,0.01±0.00,0.03±0.01,0.001±0.000,,13.99±1.75,189±15.4,,1.06±0.49,0.06±0.01
E057,"Raisins, dried, black (Vitis vinifera)",6,33.76±6.09,0.52±0.09,,0.016±0.020,0.025±0.004,77.62±8.95,1105±145,1.86±0.98,10.99±1.77,0.22±0.07
E058,"Raisins, dried, golden (Vitis vinifera)",6,28.32±6.15,0.41±0.06,,0.011±0.015,0.018±0.007,93.30±7.18,913±59.9,1.72±0.45,10.16±0.04,0.25±0.05
E059,Rambutan (Nephelium lappaceum),1,21.38,0.37,,,,6.98,131,,1.75,0.53
E060,Sapota (Achras sapota),6,16.19±2.51,0.08±0.01,,0.001±0.000,0.029±0.006,22.26±1.34,280±8.6,0.39±0.19,4.61±0.08,0.18±0.01
E061,Soursop (Annona muricata),1,17.7,0.07,,,,25.83,264,,6.78,0.12
E062,Star fruit (Averrhoa carambola),1,11.53,0.06,0.04,0.01,0.028,11.67,159,0.56,1.56,0.24
E063,Strawberry (Fragaria ananassa),1,15.53±1.31,0.43±0.02,,,,26.31±2.09,140±5.7,0.30±0.11,1.19±0.67,0.14±0.02
E064,"Tamarind, pulp (Tamarindus indicus)",6,82.73±8.55,0.52±0.14,,0.070±0.060,0.032±0.020,113±18.1,836±8.1,2.05±0.48,24.92±2.45,0.58±0.05
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,9.91±0.73,0.04±0.02,,,0.010±0.008,11.33±2.50,124±7.5,,1.89±0.33,0.10±0.02
E066,"Water melon, pale green (Citrullus vulgaris)",6,7.42±1.71,0.03±0.01,,,0.009±0.008,8.09±1.76,126±5.6,,1.62±0.31,0.07±0.01
E067,Wood Apple (Limonia acidissima),3,23.70±1.68,0.20±0.02,,,0.025±0.006,84.32±4.00,347±28.5,2.32±0.21,1.48±0.36,0.31±0.03
E068,Zizyphus (Zizyphus jujube),1,16.72,0.24,,,0.008,32.38,237,1.42,1.52,0.1
F001 ,Beet root (Beta vulgaris) ,6,33.21±2.70 ,0.57±0.11 ,,0.002±0.001 ,0.008±0.002 ,36.33±4.84 ,306±26.9 ,0.25±0.05 ,69.44±0.83 ,0.30±0.09
F002,"Carrot, orange (Dacus carota)",6,16.73±3.20,0.23±0.07,,0.002±0.002,0.010±0.004,43.06±6.46,273±28.2,0.22±0.06,52.33±0.62,0.25±0.03
