code,name,regn,mg,mn,hg,mo,ni,p,k,se,na,zn
H021,Walnut (Juglans regia),6,180±16.2,3.47±0.32,,0.020±0.006,0.300±0.079,400±43.0,457±33.2,6.53±3.72,1.33±0.56,2.94±0.25
I001,"Jaggery, cane (Saccharum officinarum)",6,115±27.9,0.72±0.39,,,0.017±0.006,74.53±12.20,488±103,,25.38±7.47,0.45±0.22
I002,"Sugarcane, juice (Saccharum officinarum)",6,13.03±6.37,0.33±0.23,,,0.002±0.000,22.08±5.08,150±47.2,,1.16±0.28,0.14±0.07
J001 ,"Button mushroom, fresh (Agaricus sp.) ",1,18.3,0.15,,0.002,0.009,87.11,318,,7.72,0.17
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,10.78,0.18,,,,79.74,340,,10.22,0.55
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,24.47,0.13,0.15,0.002,0.007,96.36,323,,9.3,1.21
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,136,1.02,5.01,0.004,0.044,702,350,0.04,8.67,8.67
K001 ,Toddy ,10,3.99±0.64 ,0.02±0.01 ,,,,5.82±1.31 ,83.54±17.52 ,,1.64±0.45 ,0.01±0.01
K002,Coconut Water,6,18.19±6.03,0.48±0.16,,,0.043±0.034,18.05±7.06,215±40.0,,28.09±4.41,0.04±0.01
L001,"Milk, whole, Buffalo",6,10.05±1.46,0.01±0.00,,,,86.94±6.27,109±5.6,1.45±0.26,30.10±2.98,0.30±0.05
L002,"Milk, whole, Cow",6,8.28±1.38,0.01±0.00,,,,96.56±9.10,115±4.1,0.95±0.17,25.46±2.86,0.33±0.03
L003,Paneer,6,26.62±1.87,0.13±0.05,,,0.010±0.006,330±34.6,63.53±9.96,23.14±1.37,18.04±1.25,2.74±0.14
L004,Khoa,6,58.53±6.04,0.08±0.03,,,0.008±0.001,476±47.4,536±24.3,44.97±13.14,48.10±10.89,2.34±0.15
M001,"Egg, poultry, whole, raw",6,12.01±0.50,0.02±0.01,,,,185±2.8,138±7.1,40.44±3.63,123±6.2,1.23±0.31
M002,"Egg, poultry, white, raw",6,11.42±1.07,,,,,15.81±2.31,152±3.9,21.23±2.87,166±1.9,0.03±0.01
M003,"Egg, poultry, yolk, raw",6,13.17±0.30,0.03±0.00,,,,549±18.2,118±7.7,51.44±1.97,46.33±2.16,1.64±0.32
M004,"Egg, poultry, whole, boiled",6,13.76±0.25,0.03±0.00,,,,209±16.3,127±1.4,46.12±3.87,121±2.8,1.31±0.11
M005,"Egg, poultry, white, boiled",6,11.62±0.57,,,,,23±3.3,147±15.0,14.86±1.51,144±15.3,0.09±0.03
M006,"Egg, poultry, yolk, boiled",6,15.52±2.19,0.05±0.01,,,,586±2.9,106±7.7,38.57±3.23,44.83±2.04,3.59±0.20
M007,"Egg, poultry, omlet",3,14.84±0.34,0.02±0.00,,,,222±30.3,163±10.6,42.18±3.37,169±19.9,1.31±0.13
M008,"Egg, country hen, whole, raw",1,11,0.02,,,,198,117,62.33,157,1.12
M009,"Egg, country hen, whole, boiled",1,11,0.02,,,,206,120,52.65,149,1.25
M010,"Egg, country hen, omlet",1,13,0.03,,,,243,151,58.63,157,1.26
M011,"Egg, duck, whole, boiled",1,12,0.06,,,,263,221,43.66,110,1.58
M012,"Egg, duck, whole, raw",1,12,0.06,,,,247,228,46.33,113,1.49
M013,"Egg, duck, whole, omlet",1,15,0.08,,,,309,154,42.02,175,1.89
M014,"Egg, quial, whole, raw",1,11,0.03,,,,236,119,50.63,132,1.51
M015,"Egg, quial, whole, boiled",1,12,0.03,,,,237,115,42.6,130,1.55
N001,"Chicken, poultry, leg, skinless",4,23.82±1.59,0.03±0.01,,,0.01±0.00,199±13.7,283±28.5,20.22±1.67,65.07±13.68,1.77±0.14
N002,"Chicken, poultry, thigh, skinless",6,22.55±0.64,0.02±0.00,,,,186±12.6,263±33.7,18.69±2.12,64.59±14.32,1.42±0.07
N003,"Chicken, poultry, breast, skinless",5,20.20±0.14,0.02±0.01,,,,178±0.5,295±15.6,18.56±2.12,36.70±3.29,0.78±0.30
N004,"Chicken, poultry, wing, skinless",5,22.81±0.71,0.04±0.02,,,0.01±0.00,189±12.7,185±5.8,20.52±2.52,72.78±9.61,1.48±0.23
N005,"Poultry, chicken, liver",1,16,0.21,,,,244,241,46.35,61.58,2.65
N006,"Poultry, chicken, gizzard",1,14,0.03,,,,119,244,54.66,50.6,2.65
N007,"Country hen, leg, with skin",1,25,0.03,,,,250,357,16.33,50.46,2.71
N008,"Country hen, thigh, with skin",1,24,0.02,,,,232,330,18.33,51.14,2.16
N009,"Country hen, breast, with skin",1,22,0.01,,,,222,365,20.12,23.13,0.78
N010,"Country hen, wing, with skin",1,25,0.02,,,,235,249,18.01,54.15,1.64
N011,"Duck, meat, with skin",1,26,0.06,,,,237,273,23.55,82.25,2.92
N012,"Emu, meat, skinless",1,25,0.04,,,,243,275,21.32,48.48,2.91
N013,"Guinea fowl, meat, with skin",1,21,0.03,,,,187,240,24.37,57.64,1.48
N014,"Pigeon, meat, with skin",1,29,0.04,,,,255,346,19.32,56.1,2.48
N015,"Quail, meat, skinless",1,31,0.05,,,,300,333,14.32,56.21,1.13
N016,"Turkey, leg, with skin",1,26,0.04,,,,236,308,17.63,66.47,3.35
N017,"Turkey, thigh, with skin",1,23,0.02,,,,194,280,20.36,50.01,2.95
N018,"Turkey, breast, with skin",1,22,0.02,,,,182,315,14.33,40.45,1.28
N019,"Turkey, wing, with skin",1,24,0.02,,,,199,262,18.36,57,1.68
O001,"Goat, shoulder, meat",6,21.39±1.54,0.02±0.00,0.25±0.30,,0.01±0.00,189±11.6,332±46.8,12.91±3.65,47.31±8.90,4.19±0.54
O002,"Goat, chops",6,21.13±2.10,0.02±0.01,0.19±0.13,,0.01±0.00,195±11.7,334±43.9,21.76±5.69,45.72±6.21,4.55±1.05
O003,"Goat, legs",6,21.71±1.72,0.01±0.00,0.01±0.01,,0.01±0.00,187±14.2,339±25.5,17.76±3.82,42.77±5.74,3.52±0.43
O004,"Goat, brain",5,13.94±0.67,0.04±0.01,0.03±0.02,,0.01±0.00,296±21.2,296±15.6,21.70±6.90,132±38.4,1.08±0.09
O005,"Goat, tongue",4,19.39±2.23,0.04±0.01,0.20±0.19,,0.01±0.01,212±15.9,223±37.3,22.76±6.04,118±35.1,2.44±0.11
O006,"Goat, lungs",4,11.48±1.33,0.04±0.00,0.07±0.03,0.02±0.00,0.01±0.00,209±8.5,180±19.4,26.00±6.96,85.72±22.56,1.70±0.32
O007,"Goat, heart",5,18±2.32,0.03±0.01,0.04±0.03,,0.01±0.00,174±21.0,224±26.8,15.00±3.00,73.21±10.98,1.45±0.16
O008,"Goat, liver",6,18±1.34,0.26±0.04,0.44±0.79,0.12±0.04,0.01±0.00,336±45.5,284±48.8,48.12±26.66,55.41±14.75,3.48±1.32
O009,"Goat, tripe",5,13±2.07,0.07±0.03,0.15±0.07,,0.01±0.01,59.2±21.2,45±28.7,15.59±7.21,22.38±5.45,1.66±0.40
O010,"Goat, spleen",4,15.3±2.76,0.03±0.00,0.05±0.01,0.01±0.00,0.01±0.00,266±7.3,368±17.1,48.55±13.46,52.40±8.62,1.95±0.19
O011,"Goat, kidneys",4,18.6±2.65,0.08±0.01,0.38±0.11,0.01±0.00,0.01±0.00,220±8.1,195±43.7,142±47.6,184±21.3,1.73±0.07
O012,"Goat, tube (small intestine)",3,7.14±1.99,0.05±0.02,0.05±0.03,0.01±0.00,0.03±0.00,55.9±16.5,130±5.4,26.09±10.09,7.46±2.01,1.12±0.55
O013,"Goat, testis",2,13.66,0.02,0.64,,,186,253,80.34,92.61,1.19
O014,"Sheep, shoulder",5,21.31±3.01,0.02±0.01,0.07±0.03,0.01±0.00,0.01±0.00,195±24.9,336±61.6,22.36±7.31,45.65±11.25,3.69±0.53
O015,"Sheep, chops",4,21.42±2.22,0.03±0.01,0.13±0.01,,0.01±0.00,191±20.0,323±49.9,20.82±9.63,45.26±10.93,3.46±0.71
O016,"Sheep, leg",5,22.22±1.50,0.01±0.00,0.02±0.02,,,187±9.2,333±22.2,20.00±7.37,49.30±9.48,2.67±0.56
O017,"Sheep, brain",1,14.08,0.04,0.02,,0.01,271,312,34.6,122,1.11
O018,"Sheep, tongue",1,24.53,0.03,0.45,,0.02,207,220,23.2,185,2.46
O019,"Sheep, lungs",2,11.68,0.03,0.07,0.01,0.01,187,204,16.12,109,1.58
O020,"Sheep, heart",1,15.19,0.03,0.03,,0.01,163,225,33.3,72.62,1.31
O021,"Sheep, liver",4,17.91±2.26,0.28±0.02,0.16±0.15,0.15±0.03,0.02±0.01,334±55.6,280±53.8,43.38±17.97,55.82±12.86,3.73±1.05
O022,"Sheep, tripe",2,17.81,0.16,0.19,,0.01,55.61,48.75,13.92,18.37,1.89
O023,"Sheep, spleen",1,17.23,0.04,0.04,0.04,0.01,266,327,64.53,50.58,1.71
O024,"Sheep, kidneys",2,17.46,0.69,0.61,0.02,0.01,204,198,127,163,1.92
O025,"Beef, shoulder",6,22.24±3.28,0.01±0.00,0.10±0.07,,,201±25.2,367±56.0,11.58±3.25,45.59±12.45,4.64±0.38
O026,"Beef, chops",4,24.72±4.70,0.01±0.00,0.24±0.39,,,209±42.2,383±73.0,11.54±4.42,32.47±4.39,3.77±1.08
O027,"Beef, round (leg)",6,26.59±2.36,0.01±0.00,0.02±0.01,,0.01±0.00,215±20.0,366±3.8,18.14±10.72,38.96±8.25,3.36±0.52
O028,"Beef, brain",4,15.84±2.93,0.03±0.01,0.04±0.01,,0.01±0.00,326±34.2,320±59.0,16.57±4.35,127±25.4,1.18±0.19
O029,"Beef, tongue",4,22.82±7.66,0.04±0.01,0.11±0.07,,0.01±0.00,220±61.6,260±57.4,15.16±2.49,89.88±20.41,3.31±0.35
O030,"Beef, lungs",3,11.60±1.19,0.07±0.09,0.07±0.02,0.01±0.00,0.01±0.00,172±15.0,216±37.2,16.69±5.47,109±14.5,1.52±0.20
O031,"Beef, heart",5,15.66±8.91,0.03±0.01,0.09±0.07,,,181±16.0,258±69.1,20.66±7.75,70.52±13.92,1.50±0.22
O032,"Beef, liver",6,18.57±2.85,0.25±0.08,0.46±0.25,0.10±0.02,0.02±0.01,332±61.4,289±58.2,20.20±5.44,50.14±3.83,4.36±1.97
O033,"Beef, tripe",5,9.33±2.12,0.03±0.02,0.08±0.03,,0.01±0.00,60.17±9.2,143±61.1,10.18±3.72,41.00±11.13,2.02±0.36
O034,"Beef, spleen",6,15.80±1.25,0.03±0.01,0.11±0.04,0.05±0.01,0.01±0.00,252±24.2,348±32.4,37.55±9.76,58.94±5.92,2.01±0.16
O035,"Beef, kidneys",3,14.70±6.6.8,0.05±0.02,0.78±0.18,0.01±0.01,,180±16.5,184±80.9,135±16.8,160±31.1,1.40±0.49
O036,"Calf, shoulder",2,22.71,0.01,0.07,,0.01,197,369,12.34,77,3.31
O037,"Calf, chops",2,20.77,,0.13,,0.01,195,366,12.53,64.94,3.29
O038,"Calf, round (leg)",2,22.28,0.01,0.05,,0.01,185,356,13.32,67.04,2.64
O039,"Calf, brain",2,14.29,0.03,0.03,,0.01,296,306,15.48,115,1.11
O040,"Calf, tongue",2,15.38,0.03,0.07,,0.01,178,238,10.57,91.64,2.67
O041,"Calf, heart",1,18.21,0.04,0.05,,0.01,185,224,11.86,58,1.63
O042,"Calf, liver",1,19.16,0.19,0.8,0.12,0.01,358,307,19.94,54.99,3.8
O043,"Calf, spleen",1,18.95,0.04,0.11,0.08,0.01,274,372,41.33,67.87,2.02
O044,"Calf, kidneys",2,17.35,0.06,1.33,0.01,0.01,204,206,91.31,174,1.58
O045,"Mithun, shoulder",1,18.86,0.01,0.08,,0.02,199,307,28.28,32.94,6.11
O046,"Mithun, chops",1,18.2,0.02,,,0.03,178,222,14.58,42.17,6.08
O047,"Mithun, round (leg)",1,22.23,0.01,,,0.06,190,338,14.81,28.42,3.47
O048,"Pork, shoulder",6,15.01±4.36,0.02±0.01,0.15±0.10,,,157±36.8,234±33.1,13.26±5.22,54.47±16.10,2.08±0.66
O049,"Pork, chops",6,11.62±1.58,0.03±0.01,0.23±0.05,,,143±0.3,243±0.7,15.06±3.70,43.70±11.05,1.34±0.46
O050,"Pork, ham",6,17.05±3.66,0.01±0.01,0.10±0.14,,,140±26.6,239±34.6,13.21±6.77,40.44±9.89,1.76±0.41
O051,"Pork, lungs",4,9.82±3.41,0.03±0.01,0.12±0.11,,0.01±0.00,161±33.4,200±23.0,17.75±9.09,61.41±20.69,1.18±0.21
O052,"Pork, heart",4,18.23±1.82,0.03±0.00,0.27±0.05,0.01±0.00,0.01±0.02,187±18.5,268±54.9,20.75±5.43,70.52±13.46,1.60±0.23
O053,"Pork, liver",5,16.59±1.79,0.17±0.03,0.92±1.63,0.13±0.02,0.01±0.00,310±24.2,279±20.7,33.49±10.76,64.89±17.55,4.19±1.30
O054,"Pork, stomach",1,23.32,0.02,0.16,,0.01,125,200,31.64,109,2.34
O055,"Pork, spleen",3,16.08±2.24,0.03±0.01,0.18±0.10,0.01±0.00,0.01±0.00,230±28.7,325±35.1,37.25±4.76,49.14±5.55,2.09±0.29
O056,"Pork, kidneys",5,15.56±1.39,0.10±0.01,1.15±0.43,0.01±0.01,0.01±0.00,201±17.8,198±11.5,206±39.5,138±17.5,1.90±0.28
O057,"Pork, tube (small intestine)",1,9.78,0.05,0.16,,0.01,124,140,26.44,60.17,1.36
O058,"Hare, shoulder",1,28,0.04,,,,260,303,16.38,55.03,2.72
O059,"Hare, chops",1,31,0.03,,,,295,340,30.25,48.61,1.45
O060,"Hare, leg",1,32,0.02,,,,275,370,21.01,42.48,1.62
O061,"Rabbit, shoulder",1,32,0.03,,,,238,361,14.83,61.38,2.34
O062,"Rabbit, chops",1,33,0.03,,,,245,374,30.22,47.84,1.3
O063,"Rabbit, leg",1,21,0.03,,,,245,389,24.31,46.03,1.23
P001,Allathi (Elops machnata),1,29.08,0.01,,,0.004,215,286,12.55,32.68,0.3
P002,Aluva (Parastromateus niger),3,34.38±1.63,0.01±0.00,,,0.004±0.001,245±13.9,470±61.3,35.15±8.07,44.86±6.80,0.38±0.02
P003,Anchovy (Stolephorus indicus),2,53,0.07,,,0.004,246,270,56.22,212,0.65
P004,Ari fish (Aprion virescens ),1,30.27,0.01,,,0.006,265,447,53.21,37.35,0.31
P005,Betki (Lates calcarifer),1,24.16,0.01,5.87,,0.003,188,355,35.75,63.68,0.36
P006,Black snapper (Macolor niger),1,26.72,0.01,6.88,0.001,0.007,195,341,14.4,41.23,0.4
P007,Bombay duck (Harpadon nehereus),2,24.27,0.05,0.9,,0.006,185,188,25.45,223,0.42
P008,Bommuralu (Muraenesox cinerius),3,27.13±4.91,0.03±0.03,,,0.005±0.002,207±29.5,349±27.7,18.01±5.16,61.87±2.43,0.67±0.21
P009,Cat fish (Tachysurus thalassinus),1,25.69,0.01,,,0.005,252,429,42.33,35.82,0.58
P010,Chakla (Rachycentron canadum),5,24.71±1.74,0.01±0.00,,0.001±0.000,0.006±0.002,219±59.3,343±43.7,58.99±7.35,51.41±11.15,0.57±0.38
P011,Chappal (Aluterus monoceros ),1,25.85,0.01,,0.004,,203,306,52.37,38.12,0.67
P012,Chelu (Elagatis bipinnulata),2,31.68,0.02,,,0.019,252,406,18.43,37.6,0.41
P013,Chembali (Lutjanus quinquelineatus),1,30.55,0.02,,,0.002,211,323,15.65,38.98,0.32
P014,Eri meen (Pristipomoides filamentosus),1,30.99,0.01,,,0.005,243,402,14.36,41.19,0.31
P015,Gobro (Epinephelus diacanthus),2,28.23,0.01,,,0.004,170,316,70.58,52.68,0.37
P016,Guitar fish (Rhinobatus prahli),1,27.45,0.01,,0.003,0.002,230,342,34.66,70.81,0.35
P017,Hilsa (Tenualosa ilisha),2,30.62,0.08,0.52,,0.001,278,341,37.62,80.88,0.64
P018,Jallal (Arius sp.),1,29.12,0.01,,,0.003,204,368,41.03,74.33,0.83
P019,Jathi vela meen (Lethrinus lentjan),2,31.12,0.01,,0.001,0.003,249,467,12.35,30.53,0.35
P020,Kadal bral (Synodus indicus),1,29.55,0.02,,,0.002,219,366,52.85,53.66,0.38
P021,Kadali (Nemipterus mesoprion),1,26.23,,,0.001,0.005,207,390,16.88,36.06,0.35
P022,Kalamaara (Leptomelanosoma indicum),2,34.29,0.01,,0.001,0.003,227,420,57.99,29.33,0.38
P023,Kalava (Epinephelus coioides),1,22.87,0.02,,,0.003,177,279,12.34,40.14,0.82
P024,Kanamayya (Lutjanus rivulatus),2,27.07,0.01,,,0.003,194,346,5.6,50.53,0.31
P025,Kannadi paarai (Alectis indicus),3,32.36±2.43,0.01±0.00,,,0.005±0.002,252±47.7,432±47.8,23.26±0.15,59.57±15.15,0.40±0.05
P026,Karimeen (Etroplus suratensis),1,28.49,0.03,,,0.005,192,452,19.66,23.72,0.46
P027,Karnagawala (Anchoa hepsetus),1,44.3,0.02,,,0.004,178,228,16.45,63.27,0.41
P028,Kayrai (Thunnus albacores),2,31.74,0.01,,,0.003,266,321,40.32,25.12,0.39
P029,Kiriyan (Atule mate),1,31.98,0.03,,0.001,0.004,214,277,23.56,35.88,0.82
P030,Kite fish (Mobula kuhlii),1,28.46,0.01,,,0.005,231,387,15.69,59.03,0.55
P031,Korka (Terapon jarbua),1,28.55,0.02,,,0.007,229,349,51.96,43.3,1.47
P032,Kulam paarai (Carangoides fulvoguttatus),1,30.79,0.01,,,0.008,244,366,21.51,49.17,0.52
P033,Maagaa (Polynemus plebeius),1,30.32,0.01,,,0.002,181,375,32.85,52.28,0.35
P034,Mackerel (Rastrelliger kanagurta),3,37.46±10.04,0.02±0.00,,,0.002±0.001,231±18.6,309±36.8,64.08±9.98,83.01±12.99,0.67±0.11
P035,Manda clathi (Naso reticulatus),1,37.88,0.01,,0.003,0.006,320,431,22.56,58.5,0.37
P036,Matha (Acanthurus mata),2,40.24,0.01,,,0.012,263,450,17.9,62.58,0.32
P037,Milk fish (Chanos chanos),1,35.38,0.02,,,0.003,292,301,62.25,42.98,2.43
P038,Moon fish (Mene maculata),1,37.14,0.04,,,0.003,169,157,30.02,65.17,0.93
P039,Mullet (Mugil cephalus),3,34.09±4.19,0.04±0.03,,,0.004±0.002,222±35.2,331±18.9,40.49±16.75,66.09±6.91,0.45±0.13
P040,Mural (Tylosurus crocodilus crocodilus),1,27.1,0.01,,,0.001,224,330,26.36,110,0.71
P041,Myil meen (Istiophorus platypterus),2,30.08,0.02,,0.007,0.004,268,365,47.58,61.96,0.58
P042,Nalla bontha (Epinephelus sp.),1,29.2,0.01,,,0.003,197,403,12.34,57.87,0.3
P043,Narba (Caranx sexfasciatus),2,26.33,0.01,,,0.003,235,384,42.5,49.51,0.45
P044,Paarai (Caranx heberi),1,27.59,0.01,,0.003,0.007,284,384,35.63,45.22,0.45
P045,Padayappa (Canthidermis maculata),1,28.98,0.02,,,0.006,256,490,62.35,33.87,1.48
P046,Pali kora (Panna microdon),1,28,0.01,,,0.001,195,364,32.15,54.85,0.38
P047,Pambada (Lepturacanthus savala),2,29.87,0.02,,,0.002,170,263,13.58,82.65,0.41
P048,Pandukopa (Pseudosciaena manchurica),1,29.15,0.01,,,0.004,203,427,15.65,49.15,0.33
P049,Parava (Lactarius lactarius),1,32.52,0.03,,0.001,0.009,194,363,11.54,84.08,0.56
P050,Parcus (Psettodes erumei),1,28.84,0.02,,,0.004,218,446,16.23,64.38,0.33
P051,Parrot fish (Scarus ghobban),1,28.88,0.02,,0.004,0.003,316,432,64.52,51.79,0.31
P052,Perinkilichai (Pinjalo pinjalo),1,29.01,0.01,,,0.003,236,365,26.33,34.16,0.36
P053,Phopat (Coryphaena hippurus),4,32.27±2.78,0.01±0.00,,,0.007±0.004,258±21.3,439±12.1,65.53±7.30,36.20±2.65,0.36±0.06
P054,Piranha (Pygopritis sp.),1,23.41,0.02,,,0.003,170,323,28.22,38.97,0.43
P055,"Pomfret, black (Parastromateus niger)",1,28.22,0.02,1.7,,0.005,195,295,50.25,69.09,0.5
P056,"Pomfret, snub nose (Trachinotus blochii)",2,29.85,0.01,,,0.004,247,483,30.62,36.1,0.92
P057,"Pomfret, white (Pampus argenteus)",2,32.2,0.02,,0.001,0.003,211,255,29.33,46.09,0.53
P058,Pranel (Gerres sp.),1,26.26,0.02,,,0.003,166,251,63.35,52.37,0.55
P059,Pulli paarai (Gnathanodon speciosus),1,31.12,0.01,,,0.002,232,335,53.25,58.56,0.52
P060,Queen fish (Scomberoides commersonianus),3,28.10±2.72,0.01±0.00,,0.001±0.000,0.006±0.003,235±17.8,440±17.8,39.82±11.13,48.93±9.31,0.35±0.02
P061,Raai fish (Lobotes surinamensis),2,21.99,0.02,,,0.003,213,347,7.92,47.62,0.36
P062,Raai vanthu (Epinephelus chlorostigma),1,27.39,0.01,,,0.006,178,311,16.53,50.83,0.35
P063,Rani (Pink perch),1,29.91,0.02,4.53,,0.001,208,335,40.12,63.17,0.4
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,19.25,0.01,,,0.003,196,353,44.37,105,0.49
P065,Red snapper (Lutjanus argentimaculatus),1,32.65,0.01,,,0.003,204,446,12.84,59.89,0.34
P066,"Red snapper, small (Priacanthus hamrur)",1,31.03,0.01,,,0.004,204,327,23.65,38.97,0.4
P067,Sadaya (Platax orbicularis),1,26.27,0.02,,,0.033,221,360,23.55,49.41,0.68
P068,Salmon (Salmo salar),1,31.18,0.01,,0.003,0.005,211,345,36.34,20.25,0.51
P069,Sangada (Nemipterus japonicus),1,28.37,0.09,,,0.003,211,217,26,77.82,0.32
P070,Sankata paarai (Caranx ignobilis),1,27.53,0.01,,,0.001,246,379,33.02,22.33,0.39
P071,Sardine (Sardinella longiceps),1,24.39,0.02,1.49,,0.003,191,228,50.21,38.49,0.89
P072,Shark (Carcharhinus sorrah),2,32.58,0.02,,0.002,0.005,263,372,28.9,63.63,0.46
P073,"Shark, hammer head (Sphyrna mokarran)",1,25.11,0.02,3.74,,0.008,200,304,50.31,53.55,0.4
P074,"Shark, spotted (Stegostoma fasciatum)",1,19.05,0.02,,,0.003,179,318,62.32,131,0.55
P075,Shelavu (Sphyraena jello),4,29.90±6.95,0.01±0.00,,,0.006±0.003,251±28.2,453±51.9,30.81±3.61,38.73±5.26,0.42±0.12
P076,Silan (Silonia silondia),1,22.64,0.02,0.21,,,163,223,20.23,29.39,0.58
P077,Silk fish (Beryx sp.),1,27.13,0.01,,,0.004,211,440,16.59,41.57,0.34
P078,Silver carp (Hypophthalmichthys molitrix),1,24.97,0.03,1.81,,0.005,187,249,72.55,19.6,0.57
P079,Sole fish (Cynoglossus arel),1,27.96,0.07,,,0.003,123,199,40.22,74.57,0.17
P080,Stingray (Dasyatis pastinaca),1,24.61,0.01,1.54,,0.004,174,270,23.85,64.14,0.44
P081,Tarlava (Drepane punctata),2,30.1,0.01,,0.001,0.005,199,370,23.42,67.4,0.31
P082,Tholam (Plectorhinchus schotaf),2,26.14,0.01,,0.001,0.004,241,382,46.23,28,0.36
P083,Tilapia (Oreochromis niloticus),1,24.56,0.1,,,0.01,184,255,20.85,52.55,0.88
P084,Tuna (Euthynnus affinis),5,35.85±1.59,0.02±0.01,,0.002±0.001,0.007±0.002,292±39.6,357±20.6,21.55±5.13,52.89±10.16,0.69±0.20
P085,"Tuna, striped (Katsuwonus pelamis)",1,26.02,0.02,,,0.004,209,273,23.85,22.6,0.46
P086,Valava (Chirocentrus nudus),1,39.05,0.02,,,0.004,229,365,32.02,91.91,0.42
P087,Vanjaram (Scomberomorus commerson),2,36.73,0.01,,0.002,,302,473,32.64,34.85,0.74
P088,Vela meen (Aprion virescens),1,31.93,0.02,,0.001,0.011,280,387,35.45,38.15,0.36
P089,Vora (Siganus javus),2,32.27,0.01,,,0.003,246,401,23.65,43.66,0.29
P090,Whale shark (Galeocerdo cuvier),1,20.61,0.01,,,0.001,274,365,33.95,116,0.38
P091,Xiphinis (Xiphias gladius),1,26.38,0.01,,,0.002,255,306,32.82,66.21,0.56
P092,"Eggs, Cat fish (Ompok bimaculatus)",1,59.93,0.5,2.26,,0.016,445,252,43.57,54.83,3.11
Q001 ,Crab (Menippe mercenaria) ,1,38.04,0.33,4.61,0.024,0.024,100,171,34.8,244,0.76
Q002,"Crab, sea (Portunus sanguinolentus)",1,80.04,0.16,,0.012,0.003,193,252,37.69,313,3.07
Q003,"Lobster, brown (Thenus orientalis)",1,45.34,0.07,,0.004,0.005,223,212,33.82,140,1.16
Q004,"Lobster, king size (Thenus orientalis)",1,50.16,0.04,14.58,,0.006,261,315,69.71,191,1.92
Q005,Mud crab (Scylla tranquebarica),1,46.92,0.79,,,0.002,153,227,51.97,305,3.3
Q006,Oyster (Crassostrea sp.),1,22.24,0.56,,0.071,,170,122,28.91,41.01,7.35
Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,45.93,0.03,,,0.003,189,141,46.95,188,1.1
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,30.5,0.02,,0.001,0.003,191,140,54.22,61.05,1.16
R001,"Clam, green shell (Perna viridis )",1,73.64,0.34,,0.044,0.036,128,152,76.34,322,1.64
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,86.64,0.22,,0.048,0.044,192,245,32.81,404,1.16
R003,Octopus (Octopus vulgaris),1,50.92,0.04,1.37,0.003,0.007,131,181,40.21,230,4.07
R004,"Squid, black (Loligo sp.)",1,41.99,0.03,0.95,,0.004,173,162,57.13,179,1.24
R005,"Squid, hard shell (Sepia pharaonis)",1,35.46,0.02,,,,173,116,41.34,99.14,1.3
R006,"Squid, red (Loligo duvauceli)",2,35.74,0.02,,0.001,0.003,167,134,47.43,121,0.95
R007,"Squid, white, small (Uroteuthis duvauceli)",1,38.53,0.02,1.67,,0.006,151,134,70.02,154,1.64
S001,Cat fish (Tandanus tandanus),2,18.78±6.65,0.02±0.03,1.89±2.43,,0.004±0.002,157±58.6,250±83.0,71.03±12.14,28.29±11.65,0.71±0.24
S002,Catla (Catla catla),6,25.58±0.87,0.03±0.02,1.59±1.06,0.001±0.000,0.006±0.002,182±7,301±29.0,19.73±26.86,36.56±6.32,0.68±0.13
S003,Freshwater Eel (Anguilla anguilla),1,42.5,0.13,3.97,,0.012,361,450,67.32,88.67,2.23
S004,Gold fish (Carassius auratus),2,21.66,0.02,2.29,,0.01,185,243,14.22,27.53,1.69
S005,Pangas (Pangasianodon hypophthalmus),6,25.09±4.41,0.03±0.01,0.26±0.20,0.001±0.000,0.003±0.002,179±37.0,282±78.6,19.31±6.56,37.42±9.50,0.69±0.16
S006,Rohu (Labeo rohita),6,26.53±3.81,0.04±0.02,1.71±2.54,,0.005±0.002,200±48.7,303±72.4,51.50±11.49,35.56±6.36,0.80±0.11
S007,Crab (Pachygrapsus sp.),1,66.77,0.09,4.04,,0.001,208,286,71.84,280,2.49
S008,"Prawns, big (Macrobrachium rosenbergii)",1,39.25,0.03,0.94,0.002,0.006,237,269,28.59,849,1.44
S009,"Prawns, small (Macrobrachium sp.)",3,26.91,0.02,0.78,0.004,0.006,192,224,19.92,77.71,0.87
S010,Tiger prawns (Macrobrachium sp.),2,22.94,0.08,0.4,,0.005,155,149,14.69,80.77,1.02
