code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc
A001,"Amaranth seed, black (Amaranthus cruentus)",1,9.89,14.59,2.78,5.74,7.02,5.76,1.26,59.98,1490
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",6,9.20,13.27,3.05,5.56,7.47,5.80,1.67,61.46,1489
A003,Bajra (Pennisetum typhoideum),6,8.97,10.96,1.37,5.43,11.49,9.14,2.34,61.78,1456
A004,Barley (Hordeum vulgare),6,9.77,10.94,1.06,1.30,15.64,9.98,5.66,61.29,1321
A005,Jowar (Sorghum vulgare),6,9.01,9.97,1.39,1.73,10.22,8.49,1.73,67.68,1398
A006,"Maize, dry (Zea mays)",6,9.26,8.80,1.17,3.77,12.24,11.29,0.94,64.77,1398
A007,"Maize, tender, local (Zea mays)",6,68.29,3.57,0.38,1.40,3.67,3.23,0.43,22.69,502
A008,"Maize, tender, sweet (Zea mays)",4,74.40,4.16,0.36,1.35,3.30,2.71,0.59,16.42,405
A009,Quinoa (Chenopodium quinoa),1,10.43,13.11,2.65,5.50,14.66,10.21,4.46,53.65,1374
