code,name,regn,f20d4n6,f20d5n3,f22d5n3,f22d6n3,fasat,fams,fapu,cholc
P070,Sankata paarai (Caranx ignobilis),1,204,398,197,834,3317,1876,1746,64.34
P071,Sardine (Sardinella longiceps),1,88.19,297,,317,1250,630,770,49.12
P072,Shark (Carcharhinus sorrah),2,34.77,35.47,28.68,121,275,126,230,24.4
P073,"Shark, hammer head (Sphyrna mokarran)",1,48.7,23.08,,148,264,103,232,55.81
P074,"Shark, spotted (Stegostoma fasciatum)",1,39.42,23.66,19.3,77.52,253,137,169,13.75
P075,Shelavu (Sphyraena jello),4,47.67±7.39,116±68.3,43.52±15.52,207±70.2,677±197,369±135,431±137,30.50±22.45
P076,Silan (Silonia silondia),1,60.16,22.45,,47.48,3615,3199,1140,58.93
P077,Silk fish (Beryx sp.),1,58.25,82.2,38.02,286,497,281,506,10.71
P078,Silver carp (Hypophthalmichthys molitrix),1,86.03,171,,125,1826,1964,894,68.54
P079,Sole fish (Cynoglossus arel),1,53.78,78.35,44.56,176,416,167,370,16
P080,Stingray (Dasyatis pastinaca),1,39.38,20.07,,75.62,289,173,174,62.47
P081,Tarlava (Drepane punctata),2,66.49,55.77,60.03,67.22,504,207,265,18.94
P082,Tholam (Plectorhinchus schotaf),2,51.15,72.74,65.02,257,856,510,481,59.73
P083,Tilapia (Oreochromis niloticus),1,35.03,14.76,,59.16,413,254,199,26.36
P084,Tuna (Euthynnus affinis),5,69.44±36.77,90.61±91.77,40.23±33.78,345±262,660±508,300±268,575±441,46.10±42.20
P085,"Tuna, striped (Katsuwonus pelamis)",1,37.61,40.39,11.68,191,424,168,306,64.06
P086,Valava (Chirocentrus nudus),1,33.28,38.19,14.57,233,403,107,336,15.6
P087,Vanjaram (Scomberomorus commerson),2,140,422,115,626,2229,1078,1384,67.71
P088,Vela meen (Aprion virescens),1,190,136,94.4,761,1857,851,1199,35.85
P089,Vora (Siganus javus),2,102,54.2,123,333,1207,467,647,19.34
P090,Whale shark (Galeocerdo cuvier),1,37.2,33.44,28.12,109,266,135,220,25.33
P091,Xiphinis (Xiphias gladius),1,16.88,24.11,25.23,61.55,363,184,134,27.59
P092,"Eggs, Cat fish (Ompok bimaculatus)",1,223,156,,577,1818,1125,1436,269
Q001 ,Crab (Menippe mercenaria) ,1,49.09,82.64,,108,214,140,256,53.87
Q002,"Crab, sea (Portunus sanguinolentus)",1,31.72,30.35,6.97,67.91,129,64.32,146,23.18
Q003,"Lobster, brown (Thenus orientalis)",1,26.66,23.17,4.72,40.06,106,72.73,118,32.64
Q004,"Lobster, king size (Thenus orientalis)",1,54.59,67.46,,68.32,174,129,206,41.13
Q005,Mud crab (Scylla tranquebarica),1,35.64,41.52,5.53,31.76,95.11,66.63,129,7.1
Q006,Oyster (Crassostrea sp.),1,95.01,256,26.65,210,1087,298,651,32.45
Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,22.95,19.83,6.63,35.72,121,76.53,101,70.8
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,54.81,69.78,8.28,50.4,177,88.3,204,19.47
R001,"Clam, green shell (Perna viridis )",1,41.76,80.79,9.94,108,285,92.24,263,43.74
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,47.16,85.9,21.13,217,441,127,418,23.98
R003,Octopus (Octopus vulgaris),1,121,72.24,,181,325,69.95,383,118
R004,"Squid, black (Loligo sp.)",1,47.53,70.73,,261,287,56.42,388,231
R005,"Squid, hard shell (Sepia pharaonis)",1,57.49,48.52,14.05,178,227,61.67,303,60.32
R006,"Squid, red (Loligo duvauceli)",2,72.08,82.28,29.27,342,448,83.36,545,126
R007,"Squid, white, small (Uroteuthis duvauceli )",1,67.7,95.5,,269,304,62.57,441,324
S001,Cat fish (Tandanus tandanus),2,80.31±46.30,78.77±14.57,,140±58,2182±1422,2055±1457,978±519,84.01±8.02
S002,Catla (Catla catla),6,120±72.8,123±65.2,,242±98.5,1670±137,1237±106,815±362,64.42±4.06
S003,Freshwater Eel (Anguilla anguilla),1,137,17.91,,119,981,733,600,58.64
S004,Gold fish (Carassius auratus),2,130,69.13,,73.36,1077,625,0.85,
S005,Pangas (Pangasianodon hypophthalmus),6,66.70±12.72,42.15±13.34,,106±33.7,863±338,714±240,510±103,66.89±1.40
S006,Rohu (Labeo rohita),6,53.52±15.00,23.61±18.53,,46.72±11.33,2047±1113,2618±857,747±181,47.72±3.94
S007,Crab (Pachygrapsus sp.),1,49.09,82.64,,108,214,140,256,52.91
S008,"Prawns, big (Macrobrachium rosenbergii)",1,17.87,27.14,,27.94,86.86,56.77,94.61,87.28
S009,"Prawns, small (Macrobrachium sp.)",3,39.35,58.02,,12.73,197,152,166,112
S010,Tiger prawns (Macrobrachium sp.),2,53.06,36.11,,17.38,134,120,136,78.87
