code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,2.12±0.35,4.39±0.65,8.04±0.79,5.48±0.35,1.38±0.06,0.82±0.14,5.68±0.65,4.16±0.36,1.01±0.08,5.03±0.82
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,2.01,4.31,8.2,5.58,1.63,0.96,4.77,4.04,1.2,5.24
C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,2.15±0.15,4.33±1.25,8.40±0.89,5.26±1.33,1.44±0.39,1.06±0.22,5.88±0.10,4.39±0.60,1.08±0.11,4.98±1.37
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,1.95±0.24,4.05±0.18,7.66±0.48,4.99±0.15,1.25±0.03,0.71±0.09,5.00±0.82,4.40±0.30,0.89±0.21,4.18±1.06
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,1.9,3.03,7.57,4.74,1.1,0.75,4.34,4.44,1.17,4.12
C007,Basella leaves (Basella alba),2,2.2,3.3,7.68,5.16,0.9,0.79,4.17,4.01,1.88,3.88
C008,Bathua leaves (Chenopodium album),2,1.76,4.83,8.99,3.77,1.77,0.89,5.73,4.95,1.08,6.07
C009,Beet greens (Beta vulgaris),6,1.59±0.16,2.62±0.14,5.17±0.20,4.34±0.65,0.76±0.24,0.92±0.06,3.63±0.05,3.76±0.40,0.82±0.15,4.27±0.07
C010,"Betel leaves, big (kolkata) (Piper betle)",6,0.80±0.09,2.05±0.26,7.87±0.65,2.30±0.41,0.72±0.17,0.42±0.26,4.58±1.11,4.25±0.60,1.00±0.45,3.46±0.36
C011,"Betel leaves, small (Piper betle)",4,0.81±0.03,2.59±1.26,7.86±1.60,2.27±0.13,0.76±0.23,0.38±0.10,4.73±1.81,4.57±0.42,0.69±0.18,3.93±1.61
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,1.79,3.58,5.04,3.5,1.34,0.67,3.23,4.3,0.93,4.74
C013,"Cabbage, Chinese (Brassica rupa)",1,1.97,5.72,5.69,5.78,1.06,0.94,3.27,4.01,1.24,5.4
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,1.62,3.81,6.67,3.62,1.11,0.91,4.56,4.04,1.24,5.64
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,1.56±0.36,3.56±0.61,5.31±0.79,3.12±0.88,1.06±0.22,0.90±0.23,2.56±0.64,3.76±0.56,0.93±0.04,4.83±1.23
